image_id,Patch_id,label
ISIC_0028965,ISIC_0028965_patch_1.jpg,1
ISIC_0028965,ISIC_0028965_patch_2.jpg,1
ISIC_0028965,ISIC_0028965_patch_3.jpg,1
ISIC_0028965,ISIC_0028965_patch_4.jpg,1
ISIC_0028965,ISIC_0028965_patch_5.jpg,1
ISIC_0028965,ISIC_0028965_patch_6.jpg,1
ISIC_0028965,ISIC_0028965_patch_7.jpg,1
ISIC_0028965,ISIC_0028965_patch_8.jpg,1
ISIC_0028965,ISIC_0028965_patch_9.jpg,1
ISIC_0028965,ISIC_0028965_patch_10.jpg,1
ISIC_0028965,ISIC_0028965_patch_11.jpg,1
ISIC_0028965,ISIC_0028965_patch_12.jpg,1
ISIC_0028965,ISIC_0028965_patch_13.jpg,1
ISIC_0028965,ISIC_0028965_patch_14.jpg,1
ISIC_0028965,ISIC_0028965_patch_15.jpg,1
ISIC_0028965,ISIC_0028965_patch_16.jpg,1
ISIC_0032915,ISIC_0032915_patch_1.jpg,1
ISIC_0032915,ISIC_0032915_patch_2.jpg,1
ISIC_0032915,ISIC_0032915_patch_3.jpg,1
ISIC_0032915,ISIC_0032915_patch_4.jpg,1
ISIC_0032915,ISIC_0032915_patch_5.jpg,1
ISIC_0032915,ISIC_0032915_patch_6.jpg,1
ISIC_0032915,ISIC_0032915_patch_7.jpg,1
ISIC_0032915,ISIC_0032915_patch_8.jpg,1
ISIC_0032915,ISIC_0032915_patch_9.jpg,1
ISIC_0032915,ISIC_0032915_patch_10.jpg,1
ISIC_0032915,ISIC_0032915_patch_11.jpg,1
ISIC_0032915,ISIC_0032915_patch_12.jpg,1
ISIC_0032915,ISIC_0032915_patch_13.jpg,1
ISIC_0032915,ISIC_0032915_patch_14.jpg,1
ISIC_0032915,ISIC_0032915_patch_15.jpg,1
ISIC_0032915,ISIC_0032915_patch_16.jpg,1
ISIC_0024805,ISIC_0024805_patch_1.jpg,1
ISIC_0024805,ISIC_0024805_patch_2.jpg,1
ISIC_0024805,ISIC_0024805_patch_3.jpg,1
ISIC_0024805,ISIC_0024805_patch_4.jpg,1
ISIC_0024805,ISIC_0024805_patch_5.jpg,1
ISIC_0024805,ISIC_0024805_patch_6.jpg,1
ISIC_0024805,ISIC_0024805_patch_7.jpg,1
ISIC_0024805,ISIC_0024805_patch_8.jpg,1
ISIC_0024805,ISIC_0024805_patch_9.jpg,1
ISIC_0024805,ISIC_0024805_patch_10.jpg,1
ISIC_0024805,ISIC_0024805_patch_11.jpg,1
ISIC_0024805,ISIC_0024805_patch_12.jpg,1
ISIC_0024805,ISIC_0024805_patch_13.jpg,1
ISIC_0024805,ISIC_0024805_patch_14.jpg,1
ISIC_0024805,ISIC_0024805_patch_15.jpg,1
ISIC_0024805,ISIC_0024805_patch_16.jpg,1
ISIC_0032726,ISIC_0032726_patch_1.jpg,1
ISIC_0032726,ISIC_0032726_patch_2.jpg,1
ISIC_0032726,ISIC_0032726_patch_3.jpg,1
ISIC_0032726,ISIC_0032726_patch_4.jpg,1
ISIC_0032726,ISIC_0032726_patch_5.jpg,1
ISIC_0032726,ISIC_0032726_patch_6.jpg,1
ISIC_0032726,ISIC_0032726_patch_7.jpg,1
ISIC_0032726,ISIC_0032726_patch_8.jpg,1
